Final Create Date,Final Company Code,False,True,Target,1st Time Match?
2020-01-31,Company 12,36.0,27.0,0.8,0.42857142857142855
2020-01-31,Company 4,71.0,8.0,0.8,0.10126582278481013
2020-01-31,Company 6,175.0,18.0,0.8,0.09326424870466321
2020-02-29,Company 1,4.0,1.0,0.8,0.2
2020-02-29,Company 12,96.0,24.0,0.8,0.2
2020-02-29,Company 4,62.0,15.0,0.8,0.19480519480519481
2020-02-29,Company 6,160.0,16.0,0.8,0.09090909090909091
2020-03-31,Company 1,0.0,2.0,0.8,1.0
2020-03-31,Company 12,70.0,26.0,0.8,0.2708333333333333
2020-03-31,Company 4,47.0,9.0,0.8,0.16071428571428573
2020-03-31,Company 6,95.0,4.0,0.8,0.04040404040404041
2020-04-30,Company 12,39.0,24.0,0.8,0.38095238095238093
2020-04-30,Company 4,39.0,15.0,0.8,0.2777777777777778
2020-04-30,Company 6,30.0,45.0,0.8,0.6
2020-05-31,Company 12,40.0,14.0,0.8,0.25925925925925924
2020-05-31,Company 4,49.0,10.0,0.8,0.1694915254237288
2020-05-31,Company 6,125.0,31.0,0.8,0.1987179487179487
2020-06-30,Company 1,5.0,3.0,0.8,0.375
2020-06-30,Company 10,134.0,94.0,0.8,0.41228070175438597
2020-06-30,Company 12,39.0,28.0,0.8,0.417910447761194
2020-06-30,Company 13,0.0,1.0,0.8,1.0
2020-06-30,Company 2,2.0,0.0,0.8,0.0
2020-06-30,Company 4,22.0,16.0,0.8,0.42105263157894735
2020-06-30,Company 6,555.0,113.0,0.8,0.1691616766467066
2020-07-31,Company 1,21.0,8.0,0.8,0.27586206896551724
2020-07-31,Company 10,866.0,541.0,0.8,0.3845060412224591
2020-07-31,Company 12,365.0,392.0,0.8,0.5178335535006605
2020-07-31,Company 13,26.0,21.0,0.8,0.44680851063829785
2020-07-31,Company 2,20.0,1.0,0.8,0.047619047619047616
2020-07-31,Company 4,391.0,98.0,0.8,0.20040899795501022
2020-07-31,Company 5,5.0,2.0,0.8,0.2857142857142857
2020-07-31,Company 6,1050.0,380.0,0.8,0.26573426573426573
2020-08-31,Company 1,18.0,7.0,0.8,0.28
2020-08-31,Company 10,518.0,476.0,0.8,0.4788732394366197
2020-08-31,Company 12,618.0,455.0,0.8,0.424044734389562
2020-08-31,Company 13,20.0,26.0,0.8,0.5652173913043478
2020-08-31,Company 2,17.0,3.0,0.8,0.15
2020-08-31,Company 4,415.0,95.0,0.8,0.18627450980392157
2020-08-31,Company 5,10.0,0.0,0.8,0.0
2020-08-31,Company 6,1008.0,402.0,0.8,0.2851063829787234
2020-09-30,Company 1,18.0,4.0,0.8,0.18181818181818182
2020-09-30,Company 10,584.0,656.0,0.8,0.5290322580645161
2020-09-30,Company 12,590.0,318.0,0.8,0.3502202643171806
2020-09-30,Company 13,39.0,13.0,0.8,0.25
2020-09-30,Company 2,38.0,1.0,0.8,0.02564102564102564
2020-09-30,Company 4,493.0,108.0,0.8,0.17970049916805325
2020-09-30,Company 5,16.0,2.0,0.8,0.1111111111111111
2020-09-30,Company 6,965.0,376.0,0.8,0.2803877703206562
2020-10-31,Company 1,15.0,7.0,0.8,0.3181818181818182
2020-10-31,Company 10,674.0,393.0,0.8,0.3683223992502343
2020-10-31,Company 12,597.0,388.0,0.8,0.39390862944162436
2020-10-31,Company 13,35.0,18.0,0.8,0.33962264150943394
2020-10-31,Company 2,38.0,1.0,0.8,0.02564102564102564
2020-10-31,Company 4,416.0,100.0,0.8,0.1937984496124031
2020-10-31,Company 5,18.0,3.0,0.8,0.14285714285714285
2020-10-31,Company 6,1071.0,420.0,0.8,0.28169014084507044
2020-11-30,Company 1,17.0,0.0,0.8,0.0
2020-11-30,Company 10,680.0,280.0,0.8,0.2916666666666667
2020-11-30,Company 12,488.0,242.0,0.8,0.3315068493150685
2020-11-30,Company 13,49.0,8.0,0.8,0.14035087719298245
2020-11-30,Company 2,42.0,1.0,0.8,0.023255813953488372
2020-11-30,Company 4,529.0,85.0,0.8,0.13843648208469056
2020-11-30,Company 5,14.0,1.0,0.8,0.06666666666666667
2020-11-30,Company 6,891.0,304.0,0.8,0.25439330543933053
2020-12-31,Company 1,16.0,5.0,0.8,0.23809523809523808
2020-12-31,Company 10,432.0,194.0,0.8,0.30990415335463256
2020-12-31,Company 12,500.0,372.0,0.8,0.42660550458715596
2020-12-31,Company 13,33.0,14.0,0.8,0.2978723404255319
2020-12-31,Company 2,27.0,2.0,0.8,0.06896551724137931
2020-12-31,Company 4,366.0,90.0,0.8,0.19736842105263158
2020-12-31,Company 5,4.0,0.0,0.8,0.0
2020-12-31,Company 6,571.0,222.0,0.8,0.27994955863808324
2021-01-31,Company 1,18.0,5.0,0.8,0.21739130434782608
2021-01-31,Company 10,684.0,295.0,0.8,0.30132788559754853
2021-01-31,Company 12,668.0,231.0,0.8,0.25695216907675195
2021-01-31,Company 13,26.0,6.0,0.8,0.1875
2021-01-31,Company 2,27.0,2.0,0.8,0.06896551724137931
2021-01-31,Company 4,547.0,126.0,0.8,0.18722139673105498
2021-01-31,Company 5,8.0,5.0,0.8,0.38461538461538464
2021-01-31,Company 6,839.0,243.0,0.8,0.2245841035120148
2021-02-28,Company 1,8.0,3.0,0.8,0.2727272727272727
2021-02-28,Company 10,580.0,277.0,0.8,0.323220536756126
2021-02-28,Company 12,541.0,217.0,0.8,0.2862796833773087
2021-02-28,Company 13,16.0,5.0,0.8,0.23809523809523808
2021-02-28,Company 2,33.0,5.0,0.8,0.13157894736842105
2021-02-28,Company 4,526.0,93.0,0.8,0.15024232633279483
2021-02-28,Company 5,11.0,3.0,0.8,0.21428571428571427
2021-02-28,Company 6,881.0,197.0,0.8,0.18274582560296845
2021-03-31,Company 1,12.0,9.0,0.8,0.42857142857142855
2021-03-31,Company 10,748.0,284.0,0.8,0.2751937984496124
2021-03-31,Company 12,626.0,253.0,0.8,0.28782707622298065
2021-03-31,Company 13,20.0,2.0,0.8,0.09090909090909091
2021-03-31,Company 2,37.0,1.0,0.8,0.02631578947368421
2021-03-31,Company 4,645.0,165.0,0.8,0.2037037037037037
2021-03-31,Company 5,12.0,4.0,0.8,0.25
2021-03-31,Company 6,1154.0,268.0,0.8,0.18846694796061886
2021-04-30,Company 1,12.0,7.0,0.8,0.3684210526315789
2021-04-30,Company 10,622.0,229.0,0.8,0.2690951821386604
2021-04-30,Company 12,637.0,215.0,0.8,0.25234741784037557
2021-04-30,Company 13,20.0,14.0,0.8,0.4117647058823529
2021-04-30,Company 2,24.0,1.0,0.8,0.04
2021-04-30,Company 4,518.0,117.0,0.8,0.18425196850393702
2021-04-30,Company 5,6.0,4.0,0.8,0.4
2021-04-30,Company 6,977.0,241.0,0.8,0.19786535303776684
2021-05-31,Company 1,12.0,4.0,0.8,0.25
2021-05-31,Company 10,681.0,241.0,0.8,0.2613882863340564
